City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
168,ovsyanka,56,RU,1554478809,56,53.58,126.91,29.51,4.38
169,demyansk,8,RU,1554478809,52,57.64,32.46,51.83,5.73
170,portland,90,US,1554478696,93,45.52,-122.67,51.01,6.93
171,dom pedrito,75,BR,1554476400,68,-30.98,-54.67,69.8,11.41
172,dikson,8,RU,1554478810,100,73.51,80.55,13.85,10.09
173,chapleau,90,CA,1554476400,58,47.85,-83.4,30.2,11.41
174,smidovich,88,RU,1554478810,59,48.6,133.81,35.63,2.71
175,lompoc,1,US,1554478806,93,34.64,-120.46,55.99,5.82
176,huejuquilla el alto,32,MX,1554478810,35,22.63,-103.9,59.21,1.7
177,hirara,0,JP,1554478811,100,24.8,125.28,71.72,9.53
178,vanavara,88,RU,1554478811,73,60.35,102.28,25.82,3.71
179,cabo san lucas,75,MX,1554478506,27,22.89,-109.91,77.0,2.24
180,severo-kurilsk,88,RU,1554478812,94,50.68,156.12,33.02,11.99
181,provideniya,0,RU,1554478812,100,64.42,-173.23,16.64,6.85
182,zhangjiakou,88,CN,1554478812,46,40.77,114.88,49.49,8.3
183,kouango,0,CF,1554478812,39,4.99,19.98,95.12,8.97
184,bayir,40,TR,1554475800,39,37.27,28.22,66.2,10.29
185,airai,8,TL,1554478813,83,-8.93,125.41,69.56,1.92
186,haines junction,80,CA,1554478813,91,60.75,-137.51,15.74,2.59
187,saskylakh,0,RU,1554478813,51,71.97,114.09,4.76,6.29
188,anadyr,0,RU,1554478351,84,64.73,177.51,3.2,4.47
189,blackwater,76,GB,1554478809,43,51.33,-0.78,55.99,9.17
190,san quintin,0,PH,1554478814,84,17.54,120.52,70.1,2.71
191,magadan,64,RU,1554478814,83,59.56,150.8,33.74,20.04
192,mahebourg,75,MU,1554478741,88,-20.41,57.7,78.8,18.34
193,havre,90,US,1554478316,60,48.55,-109.68,43.0,6.93
194,cherskiy,32,RU,1554478814,64,68.75,161.3,3.41,4.16
195,zaltan,76,LY,1554478814,89,32.95,11.87,62.09,17.81
196,ahuimanu,90,US,1554478356,88,21.44,-157.84,69.01,4.61
197,cadiz,90,US,1554478799,93,40.27,-81.0,52.0,3.36
198,northam,75,GB,1554478805,93,51.04,-4.21,48.0,12.75
199,cullman,90,US,1554478525,87,34.17,-86.84,63.0,3.6
200,hambantota,20,LK,1554477000,88,6.12,81.12,80.6,2.24
201,sao felix do xingu,92,BR,1554478815,91,-6.64,-51.99,77.12,2.71
202,magaria,0,NE,1554478816,14,13.0,8.91,106.19,4.94
203,viedma,0,AR,1554478816,53,-40.81,-62.99,67.76,7.85
204,guerrero negro,0,MX,1554478816,90,27.97,-114.04,58.31,10.76
205,tilichiki,0,RU,1554478817,80,60.47,166.1,22.85,3.83
206,jardim,80,BR,1554478817,100,-21.48,-56.15,76.76,9.19
207,nioro,0,GM,1554478817,25,13.79,-15.05,99.62,9.08
208,manakara,76,MG,1554478817,96,-22.14,48.01,80.99,11.21
209,houston,90,US,1554478687,94,29.76,-95.37,75.0,3.36
210,cayenne,75,GF,1554476400,83,4.94,-52.33,80.6,11.41
211,new norfolk,75,AU,1554478816,72,-42.78,147.06,62.6,5.82
212,uyemskiy,20,RU,1554476400,55,64.47,40.85,37.4,8.95
213,noumea,0,NC,1554476400,77,-22.28,166.46,69.8,2.24
214,ndjole,80,GA,1554478818,92,-0.18,10.76,78.11,3.6
215,orje,0,NO,1554478804,46,59.48,11.66,53.6,11.41
216,muana,68,BR,1554478819,93,-1.53,-49.22,81.26,3.71
217,nanortalik,88,GL,1554478819,91,60.14,-45.24,31.94,38.39
218,mitsamiouli,75,KM,1554476400,74,-11.38,43.28,82.4,16.11
219,klaksvik,64,FO,1554475800,75,62.23,-6.59,46.4,8.05
220,la sarre,56,CA,1554478820,77,48.8,-79.2,26.81,12.66
221,avarua,88,CK,1554476400,94,-21.21,-159.78,69.8,3.36
222,semey,0,KZ,1554478555,61,50.41,80.25,50.84,10.42
223,marawi,0,PH,1554478268,83,8.0,124.29,78.01,3.0
224,taree,40,AU,1554478610,93,-31.91,152.46,62.6,3.36
225,dali,44,CN,1554478820,100,25.6,100.24,47.51,0.92
226,hualmay,20,PE,1554478820,78,-11.1,-77.61,73.52,4.61
227,aklavik,5,CA,1554476400,83,68.22,-135.01,-0.41,5.82
228,nantucket,1,US,1554478603,35,41.28,-70.1,44.01,12.75
229,srandakan,56,ID,1554478821,95,-7.94,110.25,74.24,2.82
230,amatan,5,MX,1554475500,69,17.37,-92.82,80.6,8.05
231,xinmin,0,CN,1554476400,43,42.0,122.83,33.8,4.47
232,rockingham,20,GB,1554478812,50,52.52,-0.72,57.99,16.11
233,ayan,88,TR,1554478822,38,40.67,33.6,53.27,3.15
234,tigil,0,RU,1554478822,80,57.8,158.67,21.68,6.06
235,bom jesus,75,BR,1554476400,59,-5.99,-35.58,89.6,12.75
236,auki,0,NG,1554478823,17,12.18,6.51,104.21,4.72
237,san matias,20,HN,1554476400,53,13.97,-86.63,75.2,3.36
238,san jeronimo,0,PE,1554476400,40,-13.65,-73.37,53.6,1.59
239,kidderminster,0,GB,1554478818,62,52.39,-2.25,54.0,12.75
240,alofi,20,NU,1554478824,99,-19.06,-169.92,81.26,14.34
241,ancud,40,CL,1554476400,62,-41.87,-73.83,57.2,2.24
242,young,12,UY,1554478824,74,-32.7,-57.63,67.58,14.45
243,pauini,56,BR,1554478824,79,-7.71,-67.0,86.57,3.71
244,isangel,92,VU,1554478824,100,-19.55,169.27,74.96,12.44
245,bilibino,20,RU,1554478825,70,68.06,166.44,8.18,1.81
246,gigmoto,56,PH,1554478825,100,13.78,124.39,77.84,5.39
247,port lincoln,0,AU,1554478825,95,-34.72,135.86,62.09,11.99
248,ashtabula,90,US,1554478625,93,41.87,-80.79,46.99,10.29
249,stolbovaya,75,RU,1554478809,61,55.26,37.49,44.01,11.18
250,rio gallegos,75,AR,1554476400,45,-51.62,-69.22,62.6,23.04
251,zhangye,32,CN,1554478825,49,38.94,100.46,46.07,7.52
252,ponta delgada,75,PT,1554478743,67,37.73,-25.67,57.2,19.46
253,marshall,90,US,1554478631,87,39.39,-87.69,55.99,6.93
254,breves,64,BR,1554478804,84,-1.68,-50.48,83.87,5.17
255,svetlaya,88,RU,1554478826,100,46.54,138.33,29.06,5.28
256,beloha,24,MG,1554478826,58,-25.17,45.06,81.8,8.63
257,cockburn town,80,TC,1554478748,95,21.46,-71.14,79.28,17.02
258,eyl,0,SO,1554478826,87,7.98,49.82,81.35,9.08
259,karratha,0,AU,1554478826,71,-20.74,116.85,69.38,2.71
260,juneau,90,US,1554476160,93,58.3,-134.42,35.6,3.36
261,ivanivka,0,UA,1554476400,31,46.98,30.46,50.0,8.95
262,walvis bay,0,NA,1554476529,60,-22.95,14.51,68.0,11.41
263,port-gentil,20,GA,1554476400,78,-0.72,8.78,82.4,2.24
264,saint-francois,0,FR,1554478220,41,46.42,3.91,57.2,11.41
265,westminster,68,GB,1554478828,50,51.5,-0.14,55.99,14.99
266,road town,40,VG,1554478632,58,18.42,-64.62,84.2,11.41
267,porto walter,32,BR,1554478828,74,-8.27,-72.74,86.84,2.93
268,shumskiy,44,RU,1554478829,52,54.83,99.13,23.39,2.37
269,ilulissat,75,GL,1554475800,34,69.22,-51.1,37.4,8.05
270,longyearbyen,75,NO,1554475800,67,78.22,15.63,17.6,23.04
271,kudahuvadhoo,0,MV,1554478829,100,2.67,72.89,83.87,3.83
272,strezhevoy,0,RU,1554476400,64,60.73,77.6,33.8,11.18
273,half moon bay,90,US,1554478788,93,37.46,-122.43,57.0,10.29
274,mount gambier,90,AU,1554476400,87,-37.83,140.78,60.8,12.75
275,ponta do sol,0,BR,1554478830,71,-20.63,-46.0,84.23,5.61
276,broken hill,0,AU,1554476400,27,-31.97,141.45,78.8,9.17
277,saint-augustin,80,FR,1554478765,47,44.83,-0.61,61.0,10.29
278,michigan city,90,US,1554478565,70,41.71,-86.9,46.99,5.61
279,luanda,20,AO,1554476400,70,-8.83,13.24,87.8,6.93
280,alagoinhas,24,BR,1554478831,81,-12.13,-38.42,83.96,5.17
281,meulaboh,56,ID,1554478831,100,4.14,96.13,83.24,3.71
282,port elizabeth,90,US,1554478830,47,39.31,-74.98,46.99,18.34
283,paamiut,44,GL,1554478831,84,61.99,-49.67,35.99,36.37
284,shache,20,CN,1554478831,34,38.42,77.24,62.18,6.29
285,oussouye,0,SN,1554476400,45,12.49,-16.54,100.4,9.17
286,nishihara,1,JP,1554478816,23,35.74,139.53,64.99,11.41
287,gasan,0,PH,1554478216,88,13.32,121.85,77.0,1.59
288,valdivia,20,CL,1554476400,71,-39.81,-73.25,53.6,3.36
289,westport,40,IE,1554478691,57,53.8,-9.52,55.0,8.05
290,saint-prosper,0,CA,1554478290,50,46.21,-70.48,28.99,5.01
291,los llanos de aridane,40,ES,1554478503,56,28.66,-17.92,69.8,12.75
292,kangaatsiaq,32,GL,1554478833,95,68.31,-53.46,28.25,21.05
293,bako,0,NG,1554478833,39,9.68,6.4,99.08,4.38
294,emba,20,CY,1554478320,72,34.81,32.42,68.0,12.75
295,katsuura,20,JP,1554476400,58,33.93,134.5,53.6,3.36
296,ust-nera,48,RU,1554478834,65,64.57,143.24,10.07,1.92
297,marzuq,56,YE,1554478834,37,14.4,46.47,78.2,5.95
298,kurush,75,RU,1554476400,67,41.28,47.83,57.2,8.05
299,west lafayette,90,US,1554478559,93,40.43,-86.91,52.0,6.4
300,lorengau,64,PG,1554478834,100,-2.02,147.27,80.45,3.15
301,nizwa,36,OM,1554478827,17,22.93,57.53,84.23,3.27
302,atambua,12,ID,1554478834,100,-9.11,124.89,79.73,8.41
303,nouadhibou,32,MR,1554476400,53,20.93,-17.03,73.4,20.8
304,muros,75,ES,1554478805,87,42.77,-9.06,57.0,5.82
305,trapani,75,IT,1554478815,67,38.02,12.54,60.8,19.46
306,rybachiy,0,RU,1554476400,37,48.71,44.74,50.0,11.18
307,vladimir,68,RU,1554478835,90,56.13,40.41,37.7,7.52
308,samarai,92,PG,1554478835,100,-10.62,150.67,80.81,10.65
309,luis correia,92,BR,1554478836,100,-2.88,-41.67,77.84,8.52
310,cidreira,92,BR,1554478836,89,-30.17,-50.22,69.74,17.02
311,kristianstad,0,SE,1554478701,53,56.03,14.16,59.0,9.17
